sample	unit	platform	fq1	fq2
SRR5891705	TA-6194	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891705_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891705_1.fastq.gzTA-6194_2.fastq.gz
SRR5891706	K2	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891706_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891706_1.fastq.gzK2_2.fastq.gz
SRR5891707	TA-6187	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891707_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891707_1.fastq.gzTA-6187_2.fastq.gz
SRR5891708	K26	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891708_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891708_1.fastq.gzK26_2.fastq.gz
SRR5891709	K22	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891709_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891709_1.fastq.gzK22_2.fastq.gz
SRR5891710	TA-6198	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891710_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891710_1.fastq.gzTA-6198_2.fastq.gz
SRR5891711	TA-6197	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891711_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891711_1.fastq.gzTA-6197_2.fastq.gz
SRR5891712	TA-6211	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891712_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891712_1.fastq.gzTA-6211_2.fastq.gz
SRR5891713	TA-6210	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891713_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891713_1.fastq.gzTA-6210_2.fastq.gz
SRR5891714	TA-6209	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891714_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891714_1.fastq.gzTA-6209_2.fastq.gz
SRR5891715	TA-6208	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891715_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891715_1.fastq.gzTA-6208_2.fastq.gz
SRR5891716	TA-6207	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891716_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891716_1.fastq.gzTA-6207_2.fastq.gz
SRR5891717	TA-6204	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891717_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891717_1.fastq.gzTA-6204_2.fastq.gz
SRR5891718	TA-6201	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891718_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891718_1.fastq.gzTA-6201_2.fastq.gz
SRR5891719	TA-6199	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891719_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891719_1.fastq.gzTA-6199_2.fastq.gz
SRR5891720	TA-6213	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891720_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891720_1.fastq.gzTA-6213_2.fastq.gz
SRR5891721	TA-6212	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891721_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891721_1.fastq.gzTA-6212_2.fastq.gz
SRR5891722	TA-416	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891722_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891722_1.fastq.gzTA-416_2.fastq.gz
SRR5891723	TA-333	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891723_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891723_1.fastq.gzTA-333_2.fastq.gz
